folder_path,label
D:\processed_faces\fake\id5_id60_0003,1
D:\processed_faces\real\id38_0002,0
D:\processed_faces\real\id25_0009,0
D:\processed_faces\fake\985_981,1
D:\processed_faces\real\00067,0
D:\processed_faces\fake\02_12__hugging_happy__9D2ZHEKW,1
D:\processed_faces\fake\id3_id6_0008,1
D:\processed_faces\real\id25_0003,0
D:\processed_faces\fake\685_613,1
D:\processed_faces\fake\02_13__outside_talking_pan_laughing__0RKOCC6A,1
D:\processed_faces\fake\id4_id2_0003,1
D:\processed_faces\fake\02_13__exit_phone_room__CP5HFV3K,1
D:\processed_faces\real\152,0
D:\processed_faces\real\421,0
D:\processed_faces\real\461,0
D:\processed_faces\real\04__walking_outside_cafe_disgusted,0
D:\processed_faces\fake\02_07__outside_talking_pan_laughing__34PVT42V,1
D:\processed_faces\real\id42_0002,0
D:\processed_faces\fake\01_11__outside_talking_still_laughing__4OJNJLOO,1
D:\processed_faces\real\19__exit_phone_room,0
D:\processed_faces\fake\837_890,1
D:\processed_faces\fake\id0_id16_0006,1
D:\processed_faces\real\id40_0002,0
D:\processed_faces\fake\412_274,1
D:\processed_faces\real\183,0
D:\processed_faces\real\id61_0009,0
D:\processed_faces\fake\761_766,1
D:\processed_faces\real\00079,0
D:\processed_faces\real\064,0
D:\processed_faces\fake\677_671,1
D:\processed_faces\real\03__secret_conversation,0
D:\processed_faces\real\id4_0000,0
D:\processed_faces\real\243,0
D:\processed_faces\real\011,0
D:\processed_faces\fake\02_11__meeting_serious__NZJ1YEWE,1
D:\processed_faces\real\id43_0003,0
D:\processed_faces\real\889,0
D:\processed_faces\real\056,0
D:\processed_faces\fake\id4_id3_0001,1
D:\processed_faces\real\id19_0005,0
D:\processed_faces\real\17__outside_talking_pan_laughing,0
D:\processed_faces\real\00239,0
D:\processed_faces\fake\01_04__walking_down_street_outside_angry__0XUW13RW,1
D:\processed_faces\real\19__talking_angry_couch,0
D:\processed_faces\fake\03_02__walking_and_outside_surprised__GYX5OFTD,1
D:\processed_faces\fake\id2_id0_0000,1
D:\processed_faces\real\21__outside_talking_pan_laughing,0
D:\processed_faces\real\405,0
D:\processed_faces\real\621,0
D:\processed_faces\real\16__outside_talking_pan_laughing,0
D:\processed_faces\fake\253_183,1
D:\processed_faces\fake\995_233,1
D:\processed_faces\real\602,0
D:\processed_faces\fake\932_384,1
D:\processed_faces\real\412,0
D:\processed_faces\fake\id6_id2_0004,1
D:\processed_faces\real\01__talking_against_wall,0
D:\processed_faces\real\785,0
D:\processed_faces\real\00274,0
D:\processed_faces\real\00233,0
D:\processed_faces\fake\id1_id28_0002,1
D:\processed_faces\fake\461_250,1
D:\processed_faces\fake\id9_id3_0006,1
D:\processed_faces\fake\200_189,1
D:\processed_faces\real\687,0
D:\processed_faces\fake\579_701,1
D:\processed_faces\real\id0_0003,0
D:\processed_faces\real\00007,0
D:\processed_faces\fake\id2_id23_0003,1
D:\processed_faces\fake\id8_id1_0002,1
D:\processed_faces\fake\678_460,1
D:\processed_faces\real\577,0
D:\processed_faces\fake\360_437,1
D:\processed_faces\real\03__walking_and_outside_surprised,0
D:\processed_faces\fake\466_428,1
D:\processed_faces\real\00217,0
D:\processed_faces\real\655,0
D:\processed_faces\real\812,0
D:\processed_faces\fake\067_025,1
D:\processed_faces\real\540,0
D:\processed_faces\fake\02_09__walk_down_hall_angry__9TDCEK1Q,1
D:\processed_faces\real\id29_0007,0
D:\processed_faces\real\146,0
D:\processed_faces\fake\810_838,1
D:\processed_faces\fake\id7_id11_0004,1
D:\processed_faces\real\00174,0
D:\processed_faces\real\006,0
D:\processed_faces\real\342,0
D:\processed_faces\fake\id2_id17_0003,1
D:\processed_faces\real\id0_0007,0
D:\processed_faces\fake\442_195,1
D:\processed_faces\fake\144_122,1
D:\processed_faces\real\id31_0001,0
D:\processed_faces\real\222,0
D:\processed_faces\real\id16_0011,0
D:\processed_faces\fake\03_02__meeting_serious__ZESUJMM7,1
D:\processed_faces\real\id10_0003,0
D:\processed_faces\fake\959_957,1
D:\processed_faces\real\id27_0005,0
D:\processed_faces\real\05__kitchen_still,0
D:\processed_faces\fake\242_182,1
D:\processed_faces\real\00088,0
D:\processed_faces\fake\225_151,1
D:\processed_faces\real\00287,0
D:\processed_faces\real\427,0
D:\processed_faces\real\id24_0006,0
D:\processed_faces\fake\682_669,1
D:\processed_faces\real\873,0
D:\processed_faces\fake\938_987,1
D:\processed_faces\fake\240_290,1
D:\processed_faces\real\350,0
D:\processed_faces\real\327,0
D:\processed_faces\real\910,0
D:\processed_faces\fake\155_576,1
D:\processed_faces\fake\01_20__walking_and_outside_surprised__OTGHOG4Z,1
D:\processed_faces\real\654,0
D:\processed_faces\fake\id6_id31_0005,1
D:\processed_faces\fake\01_11__kitchen_still__5OVT6C66,1
D:\processed_faces\real\id53_0006,0
D:\processed_faces\real\id9_0006,0
D:\processed_faces\fake\844_797,1
D:\processed_faces\real\26__secret_conversation,0
D:\processed_faces\real\id31_0000,0
D:\processed_faces\real\285,0
D:\processed_faces\real\960,0
D:\processed_faces\fake\482_465,1
D:\processed_faces\fake\201_203,1
D:\processed_faces\fake\id3_id9_0004,1
D:\processed_faces\fake\911_910,1
D:\processed_faces\real\id1_0002,0
D:\processed_faces\fake\id1_id4_0009,1
D:\processed_faces\real\id35_0009,0
D:\processed_faces\real\id13_0009,0
D:\processed_faces\real\06__walking_outside_cafe_disgusted,0
D:\processed_faces\fake\id6_id17_0004,1
D:\processed_faces\real\00046,0
D:\processed_faces\real\732,0
D:\processed_faces\fake\731_741,1
D:\processed_faces\fake\02_15__walking_outside_cafe_disgusted__MZWH8ATN,1
D:\processed_faces\fake\925_933,1
D:\processed_faces\real\109,0
D:\processed_faces\real\443,0
D:\processed_faces\fake\id9_id3_0004,1
D:\processed_faces\real\305,0
D:\processed_faces\real\514,0
D:\processed_faces\real\id26_0008,0
D:\processed_faces\fake\974_953,1
D:\processed_faces\fake\03_06__secret_conversation__1IXGY2FK,1
D:\processed_faces\fake\id2_id1_0006,1
D:\processed_faces\real\431,0
D:\processed_faces\real\20__outside_talking_pan_laughing,0
D:\processed_faces\real\592,0
D:\processed_faces\fake\02_04__exit_phone_room__SUIZOXAJ,1
D:\processed_faces\fake\id1_id2_0005,1
D:\processed_faces\real\id1_0009,0
D:\processed_faces\fake\id3_id0_0008,1
D:\processed_faces\real\19__walking_outside_cafe_disgusted,0
D:\processed_faces\real\id11_0001,0
D:\processed_faces\real\05__talking_against_wall,0
D:\processed_faces\fake\id0_id20_0005,1
D:\processed_faces\real\039,0
D:\processed_faces\real\847,0
D:\processed_faces\real\00211,0
D:\processed_faces\fake\id0_id20_0004,1
D:\processed_faces\real\id45_0002,0
